;fecha;hr_00;hr_06;hr_12;hr_18
1792;2004-11-27;87,86;95,82;86,75;86,46
1793;2004-11-28;81,20;86,15;87,36;86,92
1794;2004-11-29;62,28;75,03;74,20;68,67
1795;2004-11-30;55,20;61,28;60,13;56,59
1796;2004-12-01;53,63;57,72;59,02;55,52
1797;2004-12-02;55,73;65,31;64,27;57,87
1798;2004-12-03;83,69;86,75;88,85;86,14
1799;2004-12-04;64,24;71,22;70,14;70,86
1800;2004-12-05;60,59;72,04;67,56;63,26
1801;2004-12-06;59,00;70,92;75,88;66,19
1802;2004-12-07;62,78;68,77;70,74;65,26
1803;2004-12-08;77,64;75,26;83,14;84,43
1804;2004-12-09;92,38;87,61;89,60;92,00
1805;2004-12-10;72,93;77,44;77,86;73,77
1806;2004-12-11;61,08;65,60;64,31;62,40
1807;2004-12-12;62,59;69,09;68,07;64,59
1808;2004-12-13;58,55;72,53;76,45;65,38
1809;2004-12-14;56,57;62,51;60,05;60,76
1810;2004-12-15;77,32;78,41;80,50;80,30
1811;2004-12-16;65,33;72,27;68,87;69,13
1812;2004-12-17;47,96;59,96;55,76;51,57
1813;2004-12-18;50,65;54,82;56,23;53,66
1814;2004-12-19;61,42;72,64;62,40;69,14
1815;2004-12-20;58,97;64,09;61,49;59,65
1816;2004-12-21;50,82;55,80;55,41;50,82
1817;2004-12-22;48,04;57,88;54,58;51,94
1818;2004-12-23;46,74;55,36;54,06;50,62
1819;2004-12-24;66,54;72,09;74,12;68,96
1820;2004-12-25;64,57;64,34;63,40;62,02
1821;2004-12-26;75,58;77,20;78,54;79,31
1822;2004-12-27;74,32;78,28;78,23;78,84
1823;2004-12-28;60,93;72,30;71,86;65,60
1824;2004-12-29;83,59;70,58;86,03;87,53
1825;2004-12-30;59,07;73,00;72,99;66,47
1826;2004-12-31;47,47;63,42;62,03;53,35
1827;2005-01-01;50,23;60,13;63,01;53,41
1828;2005-01-02;62,17;84,54;79,54;69,05
1829;2005-01-03;56,73;67,58;72,18;62,90
1830;2005-01-04;48,97;68,54;63,25;59,49
1831;2005-01-05;52,63;58,09;58,46;55,00
1832;2005-01-06;48,97;59,22;64,67;57,61
1833;2005-01-07;62,04;69,05;72,94;67,15
1834;2005-01-08;59,46;65,78;65,14;65,94
1835;2005-01-09;71,79;74,45;72,18;73,01
1836;2005-01-10;51,19;64,44;62,89;57,00
1837;2005-01-11;50,73;57,01;58,25;55,45
1838;2005-01-12;48,97;60,35;62,85;54,76
1839;2005-01-13;54,40;58,92;55,49;54,72
1840;2005-01-14;59,19;58,79;60,42;63,75
1841;2005-01-15;70,38;76,43;73,54;71,66
1842;2005-01-16;45,68;72,80;67,23;57,50
1843;2005-01-17;51,08;60,76;55,42;48,97
1844;2005-01-18;48,92;54,15;52,62;51,79
1845;2005-01-19;49,74;61,27;58,20;51,80
1846;2005-01-20;54,20;55,91;56,74;55,97
1847;2005-01-21;44,36;59,92;58,51;50,40
1848;2005-01-22;42,16;51,99;53,57;47,72
1849;2005-01-23;40,03;62,91;56,98;53,93
1850;2005-01-24;39,54;49,61;53,01;46,70
1851;2005-01-25;48,34;50,93;53,27;54,88
1852;2005-01-26;41,73;59,06;49,58;47,05
1853;2005-01-27;45,76;50,64;51,14;48,09
1854;2005-01-28;44,93;54,53;52,96;48,48
1855;2005-01-29;54,27;63,58;65,50;57,02
1856;2005-01-30;96,79;87,02;87,82;
1857;2005-01-31;83,29;75,89;86,39;84,88
1858;2005-02-01;73,08;69,76;71,33;73,58
1859;2005-02-02;69,31;78,57;77,80;73,46
1860;2005-02-03;66,98;75,63;74,45;70,81
1861;2005-02-04;66,68;73,90;72,82;69,52
1862;2005-02-05;67,11;75,37;74,78;69,90
1863;2005-02-06;87,62;90,75;90,01;89,96
1864;2005-02-07;98,41;93,81;96,02;98,17
1865;2005-02-08;92,28;90,03;90,02;90,19
1866;2005-02-09;79,36;85,13;84,10;80,62
1867;2005-02-10;76,00;78,93;79,40;78,52
1868;2005-02-11;82,49;83,44;80,49;81,75
1869;2005-02-12;83,75;86,53;87,20;85,64
1870;2005-02-13;90,22;87,29;85,97;88,59
1871;2005-02-14;88,47;91,13;88,85;89,51
1872;2005-02-15;78,74;91,95;89,08;85,91
1873;2005-02-16;78,94;79,15;87,13;81,58
1874;2005-02-17;78,17;82,75;86,01;78,79
1875;2005-02-18;71,28;77,09;77,56;73,74
1876;2005-02-19;68,39;73,72;74,10;70,70
1877;2005-02-20;70,62;74,44;74,19;72,59
1878;2005-02-21;73,47;85,79;79,92;72,57
1879;2005-02-22;72,08;81,03;81,77;75,14
1880;2005-02-23;65,81;76,79;75,95;67,99
1881;2005-02-24;76,56;91,18;90,70;89,41
1882;2005-02-25;78,48;77,69;76,40;82,96
1883;2005-02-26;76,07;78,58;85,15;78,07
1884;2005-02-27;65,98;81,22;79,98;67,23
1885;2005-02-28;59,48;68,13;66,13;60,71
1886;2005-03-01;67,24;68,44;70,82;67,20
1887;2005-03-02;61,89;67,46;69,09;65,21
1888;2005-03-03;61,32;67,99;69,80;64,69
1889;2005-03-04;;63,62;62,14;57,94
1890;2005-03-05;61,22;;;
