;fecha;prate_00;prate_06;prate_12;prate_18
2804;2007-09-05;0,00;0,00;0,00;0,02
2805;2007-09-06;0,00;0,04;0,00;0,04
2806;2007-09-07;0,00;0,04;0,56;0,35
2807;2007-09-08;0,11;0,39;0,02;0,04
2808;2007-09-09;0,00;0,00;0,97;0,13
2809;2007-09-10;0,41;0,13;0,24;0,19
2810;2007-09-11;10,22;17,71;15,10;14,62
2811;2007-09-12;39,81;43,14;8,75;28,77
2812;2007-09-13;3,43;7,08;5,98;3,87
2813;2007-09-14;23,41;31,95;13,33;16,48
2814;2007-09-15;3,52;3,91;4,75;2,05
2815;2007-09-16;2,33;2,20;3,82;2,31
2816;2007-09-17;4,34;4,17;6,39;3,39
2817;2007-09-18;33,61;27,00;39,05;29,16
2818;2007-09-19;1,56;1,94;4,38;2,22
2819;2007-09-20;0,00;0,00;0,00;0,00
2820;2007-09-21;0,00;0,00;0,00;0,00
2821;2007-09-22;0,73;1,62;0,32;0,00
2822;2007-09-23;0,04;1,04;0,00;0,00
2823;2007-09-24;0,02;0,00;0,02;0,00
2824;2007-09-25;0,00;0,00;0,00;0,00
2825;2007-09-26;0,00;0,00;0,00;0,00
2826;2007-09-27;0,00;0,00;0,00;0,00
2827;2007-09-28;0,00;0,00;0,00;0,00
2828;2007-09-29;0,00;0,00;0,00;0,00
2829;2007-09-30;0,00;0,00;0,00;0,00
2830;2007-10-01;0,39;0,43;2,38;0,17
2831;2007-10-02;49,46;38,06;61,82;61,75
2832;2007-10-03;0,35;0,43;0,15;0,17
2833;2007-10-04;0,00;0,00;0,00;0,00
2834;2007-10-05;0,02;0,00;0,06;0,06
2835;2007-10-06;19,66;19,98;22,81;16,50
2836;2007-10-07;0,28;0,11;0,00;0,02
2837;2007-10-08;0,00;0,00;0,00;0,00
2838;2007-10-09;9,40;10,67;2,72;3,02
2839;2007-10-10;2,81;7,67;2,94;1,77
2840;2007-10-11;0,19;0,24;0,17;0,28
2841;2007-10-12;6,52;4,64;11,08;5,90
2842;2007-10-13;7,11;6,61;0,78;1,77
2843;2007-10-14;0,56;0,41;0,56;0,35
2844;2007-10-15;0,02;0,00;0,06;0,09
2845;2007-10-16;0,15;0,00;0,00;0,00
2846;2007-10-17;0,00;0,00;0,00;0,00
2847;2007-10-18;0,00;0,00;0,00;0,00
2848;2007-10-19;4,02;3,41;1,27;0,00
2849;2007-10-20;0,65;0,63;10,20;1,77
